condition,emergency_type,risk_min,risk_max,govt_cost_range,private_cost_range,notes
cardiac emergency stabilization,cardiac,6,7,₹1k–₹3k,₹30k–₹60k,Initial ER stabilization
heart attack ICU care,cardiac,8,9,₹2k–₹5k,₹1.5L–₹3L,Includes ICU monitoring
cardiac surgery / angioplasty,cardiac,9,10,₹5k–₹10k,₹3L–₹6L,Procedure dependent
road accident emergency care,trauma,6,7,₹1k–₹3k,₹25k–₹50k,Basic ER + imaging
severe trauma ICU care,trauma,8,9,₹2k–₹5k,₹1L–₹3L,Multi-injury cases
major trauma surgery,trauma,9,10,₹5k–₹10k,₹2L–₹5L,Orthopedic / neuro surgery
pregnancy emergency care,obstetric,6,7,₹1k–₹3k,₹20k–₹40k,Initial stabilization
emergency delivery,obstetric,8,9,₹3k–₹6k,₹60k–₹1.5L,Normal or assisted delivery
high-risk pregnancy ICU,obstetric,9,10,₹4k–₹8k,₹1.5L–₹3L,Severe complications
seizure emergency care,general,6,7,₹1k–₹2k,₹15k–₹40k,ER + observation
stroke emergency ICU,general,8,9,₹2k–₹5k,₹1L–₹2.5L,Neuro monitoring
respiratory failure ICU,general,9,10,₹3k–₹7k,₹1.5L–₹3L,Ventilator support
